,0,1,2
0,host_listings_count,-20492858802140.684,20492858802140.684
1,host_total_listings_count,20492858802139.32,20492858802139.32
2,last_scrapedElapsed,-2585573566609.775,2585573566609.775
3,host_has_profile_pic_is_na,1621376869483.6104,1621376869483.6104
4,last_scrapedDayofyear,-1296606518669.6997,1296606518669.6997
5,reviews_per_month_is_na,-1282238604619.838,1282238604619.838
6,first_review_is_na,1282238216195.745,1282238216195.745
7,calendar_last_scrapedElapsed,1059531492201.745,1059531492201.745
8,last_scrapedDay,854304901490.2529,854304901490.2529
9,calendar_last_scrapedDayofyear,777136746047.3519,777136746047.3519
10,calendar_last_scrapedDayofweek_4,497965006546.48975,497965006546.48975
11,last_scrapedDayofweek_4,412592388321.4558,412592388321.4558
12,host_total_listings_count_is_na,-399519418497.3242,399519418497.3242
13,host_name_is_na,-340509445480.74805,340509445480.74805
14,host_thumbnail_url_is_na,-334961189366.83105,334961189366.83105
15,calendar_last_scrapedDay,280649550671.0183,280649550671.0183
16,host_is_superhost_is_na,-188208757181.03027,188208757181.03027
17,host_since_is_na,-181506629751.97852,181506629751.97852
18,host_response_time_is_na,140574234251.9751,140574234251.9751
19,host_response_time_other,-140574233949.73535,140574233949.73535
20,host_identity_verified_is_na,-139286295607.05762,139286295607.05762
21,host_listings_count_is_na,-107085673355.09082,107085673355.09082
22,host_picture_url_is_na,69700522807.23535,69700522807.23535
23,neighbourhood_group_cleansed_Friedrichshain-Kreuzberg,-48306897669.1897,48306897669.1897
24,neighbourhood_cleansed_Tempelhofer Vorstadt,26458953693.338135,26458953693.338135
25,neighbourhood_cleansed_Frankfurter Allee Süd FK,26052426211.28064,26052426211.28064
26,neighbourhood_cleansed_Frankfurter Allee Nord,19978441318.79492,19978441318.79492
27,neighbourhood_cleansed_südliche Luisenstadt,18725662049.45099,18725662049.45099
28,neighbourhood_cleansed_nördliche Luisenstadt,16305142007.273376,16305142007.273376
29,neighbourhood_cleansed_Südliche Friedrichstadt,14667537118.220947,14667537118.220947
30,neighbourhood_cleansed_Karl-Marx-Allee-Süd,14178496730.781006,14178496730.781006
31,neighbourhood_cleansed_Karl-Marx-Allee-Nord,12326330219.583511,12326330219.583511
32,first_reviewElapsed,-388465.6435546875,388465.6435546875
33,last_review_is_na,-134800.833984375,134800.833984375
34,last_reviewElapsed,-134789.61328125,134789.61328125
35,host_sinceElapsed,-17192.68359375,17192.68359375
36,first_reviewYear,4220.248779296875,4220.248779296875
37,host_sinceYear,2863.76416015625,2863.76416015625
38,last_reviewYear,841.95556640625,841.95556640625
39,first_reviewDayofyear,709.4462890625,709.4462890625
40,host_sinceMonth,408.448486328125,408.448486328125
41,last_reviewMonth,274.2547607421875,274.2547607421875
42,host_response_rate_is_na,-249.12841796875,249.12841796875
